a,b,gold,lookup,learned_u,set,integer
11,1,10,,10,10,10
11,2,9,,9,9,9
11,3,8,,8,8,8
11,5,6,,6,6,6
11,10,1,,1,1,1
12,1,11,,11,11,11
12,2,10,,10,10,10
12,4,8,,8,8,8
12,6,6,,6,6,6
12,11,1,,1,1,1
14,1,13,,13,13,13
14,2,12,,12,12,12
14,4,10,,10,10,10
14,7,7,,7,7,7
14,13,1,,1,1,1
17,1,16,,16,16,16
17,2,15,,15,15,15
17,5,12,,12,12,12
17,8,9,,9,9,9
17,16,1,,1,1,1
20,1,19,,19,19,19
20,2,18,,18,18,18
20,6,14,,14,14,14
20,10,10,,10,10,10
20,19,1,,1,1,1
23,1,22,,22,22,22
23,2,21,,21,21,21
23,7,16,,16,16,16
23,11,12,,12,12,12
23,22,1,,1,1,1
29,1,28,,28,28,28
29,2,27,,27,27,27
29,9,20,,20,20,20
29,14,15,,15,15,15
29,28,1,,1,1,1
31,1,30,,30,30,30
31,2,29,,29,29,29
31,10,21,,21,21,21
31,15,16,,16,16,16
31,30,1,,1,1,1
37,1,36,,36,36,36
37,2,35,,35,35,35
37,12,25,,25,25,25
37,18,19,,19,19,19
37,36,1,,1,1,1
40,1,39,,39,39,39
40,2,38,,38,38,38
40,13,27,,27,27,27
40,20,20,,20,20,20
40,39,1,,1,1,1
