a,b,gold,good_state,wrong_output,wrong_state,passed
15,13,2,+1,3,0,True
23,20,3,+1,4,0,True
19,15,4,+1,5,0,True
16,15,1,+1,2,0,True
15,7,8,+1,9,0,True
10,0,10,+1,11,0,True
21,18,3,+1,4,0,True
23,2,21,+1,22,0,True
14,12,2,+1,3,0,True
17,7,10,+1,11,0,True
11,6,5,+1,6,0,True
23,19,4,+1,5,0,True
24,1,23,+1,24,0,True
20,17,3,+1,4,0,True
25,22,3,+1,4,0,True
13,10,3,+1,4,0,True
21,0,21,+1,22,0,True
14,11,3,+1,4,0,True
12,1,11,+1,12,0,True
10,7,3,+1,4,0,True
15,10,5,+1,6,0,True
22,15,7,+1,8,0,True
14,2,12,+1,13,0,True
11,7,4,+1,5,0,True
