graph,a,b,gold_cost,kind,path,cost,wrong,passed
0,V0,V1,3,positive,+1,+1,0,True
0,V0,V2,4,positive,+1,+1,0,True
0,V0,V3,6,positive,+1,+1,0,True
0,V0,V5,8,positive,+1,+1,0,True
0,V0,V6,8,positive,+1,+1,0,True
0,V0,V4,6,positive,+1,+1,0,True
0,V2,V3,2,positive,+1,+1,0,True
0,V2,V5,4,positive,+1,+1,0,True
0,V2,V6,4,positive,+1,+1,0,True
0,V3,V5,2,positive,+1,+1,0,True
0,V1,V2,1,positive,+1,+1,0,True
0,V1,V3,3,positive,+1,+1,0,True
0,V1,V5,5,positive,+1,+1,0,True
0,V1,V6,5,positive,+1,+1,0,True
0,V1,V4,3,positive,+1,+1,0,True
0,V1,V0,,negative,0,,,True
0,V2,V0,,negative,0,,,True
0,V2,V1,,negative,0,,,True
0,V2,V4,,negative,0,,,True
0,V3,V0,,negative,0,,,True
1,V0,V1,2,positive,+1,+1,0,True
1,V0,V2,1,positive,+1,+1,0,True
1,V0,V3,5,positive,+1,+1,0,True
1,V0,V4,8,positive,+1,+1,0,True
1,V0,V5,4,positive,+1,+1,0,True
1,V0,V6,2,positive,+1,+1,0,True
1,V2,V3,4,positive,+1,+1,0,True
1,V2,V4,7,positive,+1,+1,0,True
1,V3,V4,3,positive,+1,+1,0,True
1,V1,V0,,negative,0,,,True
1,V1,V2,,negative,0,,,True
1,V1,V3,,negative,0,,,True
1,V1,V4,,negative,0,,,True
1,V1,V5,,negative,0,,,True
2,V0,V1,4,positive,+1,+1,0,True
2,V0,V2,7,positive,+1,+1,0,True
2,V0,V5,8,positive,+1,+1,0,True
2,V0,V6,11,positive,+1,+1,0,True
2,V0,V3,4,positive,+1,+1,0,True
2,V0,V4,3,positive,+1,+1,0,True
2,V2,V5,1,positive,+1,+1,0,True
2,V2,V6,4,positive,+1,+1,0,True
2,V5,V6,3,positive,+1,+1,0,True
2,V1,V2,3,positive,+1,+1,0,True
2,V1,V5,4,positive,+1,+1,0,True
2,V1,V6,7,positive,+1,+1,0,True
2,V1,V0,,negative,0,,,True
2,V1,V3,,negative,0,,,True
2,V1,V4,,negative,0,,,True
2,V2,V0,,negative,0,,,True
2,V2,V1,,negative,0,,,True
