index,name,category,status,seconds,file
1,TERNARY_U_KEY,core,PASS,0.622,ternary_u_key_negative_full.py
2,TEMPORAL_STATE,core,PASS,0.597,temporal_mini_lm_v02.py
3,CORE_V1,core,PASS,0.615,symbolic_mini_lm_v1.py
4,DICTIONARY_ONTOLOGY,language,PASS,0.584,symbolic_mini_lm_v11_dictionary_test.py
5,CONTROLLED_E2E_V12,language,PASS,0.581,symbolic_mini_lm_v12_end_to_end.py
6,REFERENCE_U,language,PASS,0.575,symbolic_mini_lm_v13_reference_u.py
7,CLAUSE_U,language,PASS,0.553,symbolic_v27_clause_u_ablation.py
8,RAW_SWEET_PORRIDGE,language,PASS,0.601,symbolic_v32_full_raw_end_to_end.py
9,CLAIM_WORLD_CONTEXT,language,PASS,0.593,symbolic_v38_context_clause_ports.py
10,QUOTE_BINDING,language,PASS,0.622,frau_holle_v35_quote_binding_test.py
11,SHARED_RECURSIVE_V39,reasoning,PASS,0.718,symbolic_v39_shared_recursive_u.py
12,MATH_OPT_V42,reasoning,PASS,13.076,symbolic_math_v42_solver_optimization.py
13,REC_SUB,recursive_verifier,PASS,8.272,symbolic_v44b_recursive_u_verifier.py
14,REC_MUL,recursive_verifier,PASS,26.219,symbolic_v44b_recursive_u_verifier.py
15,REC_PATH,recursive_verifier,PASS,0.693,symbolic_v44b_recursive_u_verifier.py
16,REC_PATH_COST,recursive_verifier,PASS,4.503,symbolic_v44b_recursive_u_verifier.py
17,ADAPTIVE_LIBRARY_V45,learning,PASS,12.325,symbolic_v45_adaptive_u_library.py
18,NESTED_LEARNING_V46,learning,PASS,12.651,symbolic_v46_nested_on_demand.py
19,AUTO_DEPENDENCY_V47,learning,PASS,12.46,symbolic_v47_automatic_dependency_discovery.py
20,ABSTRACTION_INVENTION_V48,learning,PASS,26.565,symbolic_v48_abstraction_invention.py
21,VERSIONED_REVISION_V49,learning,PASS,3.503,symbolic_v49_versioned_revision.py
