check,passed
D1_passive_roles_from_structure,True
D1_passive_state_correct,True
D2_group_entity_created,True
D2_plural_sie_resolves_group_by_agreement,True
D2_group_state_correct,True
D2_singular_sie_does_not_fake_group,True
D3_relative_clause_binds_antecedent,True
D3_relative_matrix_clause_separate_event,True
D3_relative_clause_state_correct,True
D4_nested_claim_context_created,True
D4_nested_claim_does_not_leak_world,True
D5_passive_inside_claim_parses,True
D5_passive_claim_does_not_change_world,True
D6_same_numeric_u_reused,True
D6_wrong_passive_answer_stays_unknown,True
