check,passed
no_interesting_or_negative_labels_in_corpus,True
exactly_three_salient_concepts_discovered,True
fresh_heads_are_R4_R5_R6,True
all_salient_cross_story,True
all_salient_cross_domain,True
all_salient_predictive,True
all_salient_compressive,True
all_salient_closed,True
repeated_noise_pair_rejected,True
degenerate_repetition_rejected,True
frozen_r1_match,True
frozen_r1_mismatch_unknown,True
frozen_r2_match,True
frozen_r2_mismatch_unknown,True
frozen_roundtrip_match,True
frozen_wrong_return_unknown,True
frozen_distractor_story_exact_binding_only,True
story_isolation,True
reverse_time_rejected,True
sweet_porridge_reuses_autodiscovered_concept,True
versioned_active,True
