check,passed
initial_anonymous_hierarchy_active,True
new_evidence_conflicts_with_r4_v1,True
challenge_propagates_to_all_descendants,True
revision_search_finds_symbolic_guard_not_semantic_head,True
r4_v2_full_combined_support_zero_conflict,True
r4_v1_superseded_r4_v2_active,True
r8_reversioned_against_r4_v2,True
r9_reversioned_against_r8_v2,True
good_root_and_descendant_proofs_survive,True
guard_incompatible_root_and_descendants_unknown,True
query_is_not_evidence_or_revision_trigger,True
failed_revision_rolls_back_without_replacing_active,True
history_and_parent_links_preserved,True
unrepairable_root_has_no_safe_guard,True
unrepairable_root_cascades_to_no_active_descendants,True
all_concept_heads_remain_anonymous,True
