check,passed
frozen_v63_base_stays_green,True
C8_port_types_learned_from_prior_unambiguous_U,True
C8_syncretic_training_resolved_by_joint_constraints,True
C8_syncretic_frozen_reordered_transfer,True
C8_same_type_syncretism_remains_unknown,True
C9_reporting_selector_learned_full_support_zero_conflict,True
C9_reporting_U_learns_clause_local_nom_person,True
C9_frozen_mother_pre_and_post_quote,True
C9_non_reporting_verb_does_not_bind_speaker,True
C9_multiple_nom_people_remain_unknown,True
C9_quote_semantics_reuses_existing_action_lexicon,True
C10_mixed_ten_line_text_all_parsed_without_new_U,True
C10_mixed_text_exact_composition,True
C10_reading_longer_mix_does_not_mutate_U,True
endboss_girl_command_response_still_works,True
endboss_mother_reporting_command_now_recognized,True
endboss_mother_local_command_response_now_composes,True
endboss_stop_formula_still_unknown,True
adversarial_reporting_suite,True
