check,passed
frozen_K3_base_is_green,True
K4_no_concrete_type_names_in_learned_type_ids,True
K4_port_role_equivalence_recovers_expected_anonymous_classes,True
K4_shared_occupants_merge_process_and_attribute_first_ports,True
K4_shared_occupants_merge_possession_and_location_first_ports,True
K4_second_ports_remain_distinct_without_evidence_of_equivalence,True
K4_all_training_facts_validate_using_only_anonymous_types,True
K4_two_observations_activate_novel_member_for_cross_port_reuse,True
K4_novel_object_member_activates,True
K4_single_observation_stays_staged_and_cannot_cross_port_transfer,True
K4_duplicate_evidence_cannot_activate_membership,True
K4_symbol_can_be_multi_typed_without_forced_merge,True
K4_ambiguous_relation_query_stays_multi_candidate,True
K4_pure_binary_topology_without_relation_identity_is_non_identifiable,True
K4_formal_anonymous_relation_port_provenance_rescues_type_identity,True
K4_anonymous_K2_actions_acquire_reusable_T_membership,True
K4_Grimm_POT_Akochen_fact_valid_without_ENTITY_ACTION_names,True
K4_Grimm_remove_process_family_remains_structurally_available,True
