name,category,status,seconds
TERNARY_U_KEY,core,PASS,0.718
TEMPORAL_STATE,core,PASS,0.622
CORE_V1,core,PASS,0.6
DICTIONARY_ONTOLOGY,language,PASS,0.573
CONTROLLED_E2E_V12,language,PASS,0.595
REFERENCE_U,language,PASS,0.58
CLAUSE_U,language,PASS,0.632
RAW_SWEET_PORRIDGE,language,PASS,0.577
CLAIM_WORLD_CONTEXT,language,PASS,0.59
QUOTE_BINDING,language,PASS,0.588
SHARED_RECURSIVE_V39,reasoning,PASS,0.7
MATH_OPT_V42,reasoning,PASS,13.462
REC_SUB,recursive_verifier,PASS,8.564
REC_MUL,recursive_verifier,PASS,26.971
REC_PATH,recursive_verifier,PASS,0.757
REC_PATH_COST,recursive_verifier,PASS,4.522
ADAPTIVE_LIBRARY_V45,learning,PASS,12.711
NESTED_LEARNING_V46,learning,PASS,13.019
AUTO_DEPENDENCY_V47,learning,PASS,13.009
ABSTRACTION_INVENTION_V48,learning,PASS,27.993
VERSIONED_REVISION_V49,learning,PASS,3.521
