check,passed
K7_three_context_behaviors_receive_anonymous_C_ids,True
K7_no_WORLD_CLAIM_HYPOTHETICAL_names_in_context_families,True
K7_root_clause_exports,True
K7_actor_quote_is_local_not_parent_export,True
K7_marked_subordinate_is_local_not_actor_or_parent,True
K7_unseen_context_origin_stays_UNKNOWN,True
K7_opposite_speaker_scopes_do_not_create_parent_contradiction,True
K7_queries_do_not_mutate_context_evidence,True
K7_FrauHolle_bread_request_is_scoped_but_action_is_world_root,True
K7_FrauHolle_Holle_instruction_does_not_itself_assert_action,True
K7_FrauHolle_marked_conditional_content_remains_scoped,True
