qid,passed,scope,relation,args,actor
Q01,True,ROOT,INITIAL_COUNT,"('widow', 'DAUGHTER', 'N2')",
Q02,True,ROOT,PROPERTY,"('good_daughter', 'INDUSTRIOUS')",
Q03,True,ROOT,PROPERTY,"('lazy_daughter', 'LAZY')",
Q04,True,ROOT,SPIN,"('good_daughter',)",
Q05,True,ROOT,FALL,"('SPOOL', 'WELL')",
Q06,True,ROOT,JUMP,"('good_daughter', 'WELL')",
Q07,True,ROOT,AT,"('good_daughter', 'MEADOW')",
Q08,True,ACTOR,REQUEST,"('BREAD', 'PULL_OUT')",BREAD
Q09,True,ROOT,PULL_OUT,"('good_daughter', 'BREAD')",
Q10,True,ACTOR,REQUEST,"('TREE', 'SHAKE')",TREE
Q11,True,ROOT,SHAKE,"('good_daughter', 'TREE')",
Q12,True,ROOT,SERVE,"('good_daughter', 'frau_holle')",
Q13,True,ACTOR,REQUEST,"('frau_holle', 'SHAKE_BED')",frau_holle
Q14,True,ROOT,WANT_HOME,"('good_daughter',)",
Q15,True,ROOT,LEAD,"('frau_holle', 'good_daughter', 'GATE')",
Q16,True,ROOT,COVER,"('good_daughter', 'GOLD')",
Q17,True,ROOT,GIVE,"('frau_holle', 'good_daughter', 'SPOOL')",
Q18,True,ROOT,RETURN_HOME,"('good_daughter',)",
Q19,True,ROOT,INTEND,"('mother', 'lazy_daughter', 'SAME_LUCK')",
Q20,True,ROOT,THROW,"('lazy_daughter', 'SPOOL', 'WELL')",
Q21,True,ROOT,REFUSE,"('lazy_daughter', 'BREAD')",
Q22,True,ROOT,REFUSE,"('lazy_daughter', 'TREE')",
Q23,True,ROOT,NEGLECT,"('lazy_daughter', 'BED')",
Q24,True,ROOT,DISMISS,"('frau_holle', 'lazy_daughter')",
Q25,True,ROOT,COVER,"('lazy_daughter', 'PITCH')",
Q26,True,ROOT,REMAIN_ATTACHED,"('PITCH', 'lazy_daughter')",
A01,True,ADVERSARIAL,COVER,"('lazy_daughter', 'GOLD')",
A02,True,ADVERSARIAL,PULL_OUT,"('lazy_daughter', 'BREAD')",
A03,True,ADVERSARIAL,SHAKE,"('lazy_daughter', 'TREE')",
A04,True,ADVERSARIAL,COVER,"('good_daughter', 'PITCH')",
A05,True,ADVERSARIAL,JUMP,"('frau_holle', 'WELL')",
A06,True,ADVERSARIAL,GIVE,"('mother', 'good_daughter', 'GOLD')",
