check,passed
K8_old_frozen_transfer_baseline_is_zero_of_two,True
K8_geben_binder_learned_from_varied_word_orders,True
K8_schenken_binder_learned_independently,True
K8_geben_and_schenken_binders_have_same_structure,True
K8_same_event_U_merges_geben_schenken_only_after_same_binder_and_consequence,True
K8_return_home_surface_families_merge_by_same_binder_and_location_consequence,True
K8_frozen_SweetPorridge_GIVE_transfers,True
K8_frozen_SweetPorridge_RETURN_HOME_transfers,True
K8_FrauHolle_actual_GIVE_works_with_generic_shared_subject_binder,True
K8_FrauHolle_lazy_return_home_works_with_generic_unary_binder,True
K8_adversarial_binder_suite_all_safe,True
K8_varied_case_curriculum_blocks_order_only_shortcut,True
K8_canonical_only_curriculum_would_allow_order_shortcut,True
