check,passed
K10_K9_base_is_green,True
K10_no_event_label_or_preselected_P_O_target_is_used,True
K10_geben_discovers_unique_recurring_grounded_consequence,True
K10_schenken_discovers_unique_recurring_grounded_consequence,True
K10_return_home_discovers_unique_recurring_grounded_consequence,True
K10_seeing_with_unstable_incidental_changes_stays_UNKNOWN,True
K10_geben_and_schenken_merge_only_after_discovered_meaning_and_binder_match,True
K10_frozen_SweetPorridge_GIVE_transfers,True
K10_frozen_FrauHolle_GIVE_regression,True
K10_frozen_SweetPorridge_RETURN_HOME_transfers,True
K10_no_stable_meaning_means_no_frozen_event,True
K10_two_always_cooccurring_local_consequences_are_non_identifiable,True
K10_one_discriminating_intervention_breaks_consequence_tie,True
K10_without_local_grounding_recurring_remote_change_can_be_spurious_candidate,True
K10_with_local_grounding_remote_change_is_rejected,True
