check,passed
K14_K12_K13_bases_green,True
K14_fixed_immediate_preceding_marker_rule_removed,True
K14_attachment_program_is_learned_from_binding_success,True
K14_learned_attachment_is_left_local_window,True
K14_base_clause_parses,True
K14_adjective_intervening_marker_parses,True
K14_fronted_adjective_clause_parses,True
K14_longer_untrained_attachment_span_stays_UNKNOWN,True
K14_sweet_style_clause_transfers,True
K14_holle_style_clause_transfers,True
K14_competing_local_role_markers_stay_UNKNOWN,True
K14_unknown_marker_stays_UNKNOWN,True
K14_without_token_order_bag_representation_cannot_recover_attachment,True
K14_entity_anchor_labels_can_be_partly_learned_from_repeated_world_text_alignment,True
K14_one_shot_entity_candidates_remain_STAGED,True
