check,passed
K19_temporal_cues_learned_not_hardcoded_as_orientation,True
K19_unknown_temporal_cue_remains_U_zero,True
K19_persistence_is_learned_for_location_state,True
K19_occurrence_relation_does_not_get_universal_persistence,True
K19_A_latest_leave_proves_wolf_NOT_AT,True
K19_A_red_is_AT_after_enter,True
K19_A_meeting_is_explicitly_negative,True
K19_B_meeting_true_before_leave,True
K19_B_meeting_negative_after_leave,True
K19_BEFORE_raw_orientation_is_learned_correctly,True
K19_BEFORE_story_wolf_still_AT_when_red_enters,True
K19_BEFORE_story_meeting_true,True
K19_same_time_enter_leave_yields_contradiction,True
K19_unknown_order_blocks_latest_state_commit,True
K19_DURING_positive_query,True
K19_DURING_outside_interval_is_negative,True
K19_when_timeline_returns_relative_layers,True
K19_story_contexts_do_not_cross_join,True
K19_backward_query_remains_context_and_target_relevant,True
K19_without_learned_persistence_state_query_is_UNKNOWN,True
K19_without_order_latest_state_is_UNKNOWN,True
K19_queries_are_read_only,True
K19_rejected_temporal_U_does_not_make_BEFORE_KEY_minus1,True
