check,passed
K20_cue_direction_is_learned_from_anchored_examples,True
K20_raw_unit_scales_are_learned_not_named_semantics,True
K20_inflected_units_cluster_by_equal_learned_scale,True
K20_absolute_plus_relative_chain_derives_E2,True
K20_chain_derives_E3,True
K20_day_offset_derives_E4,True
K20_before_offset_derives_E0,True
K20_exact_time_query_plus1,True
K20_different_proven_time_query_minus1,True
K20_before_from_derived_absolute_times,True
K20_unknown_cue_keeps_relative_U_and_time_zero,True
K20_unknown_unit_keeps_relative_U_and_time_zero,True
K20_conflicting_absolute_derivations_yield_contradiction,True
K20_redundant_consistent_derivations_do_not_contradict,True
K20_rejected_time_U_does_not_make_time_KEY_minus1,True
K20_interval_duration_2_hours_plus1,True
K20_same_duration_120_minutes_plus1,True
K20_wrong_duration_is_explicitly_negative,True
K20_during_inside_interval_plus1,True
K20_during_outside_interval_minus1,True
K20_latest_state_after_leave_is_minus1,True
K20_latest_state_before_leave_is_plus1,True
K20_equal_derived_times_can_expose_state_contradiction,True
K20_backward_time_query_ignores_5000_disconnected_time_U,True
K20_queries_are_read_only,True
K20_unit_scale_is_information_needed_for_mixed_units,True
K20_direction_is_information_needed_for_later_vs_before,True
K20_without_absolute_anchor_absolute_WHEN_is_zero,True
K20_without_absolute_anchor_relative_BEFORE_can_still_be_plus1,True
