check,passed
K22_progress_is_derived_from_generic_order_observations,True
K22_zero_is_derived_as_unique_minimum_not_named_N0,True
K22_learned_progress_supports_frozen_ADD_U,True
K22_learned_progress_supports_frozen_MUL_U,True
K22_nested_B_time_correct,True
K22_nested_C_before_B_time_correct,True
K22_nested_D_from_derived_C_correct,True
K22_nested_X_from_derived_B_correct,True
K22_deep_day_nested_E_correct,True
K22_nested_before_from_derived_E_correct,True
K22_deep_GQ_chain_correct,True
K22_B_is_during_nested_inner_interval,True
K22_X_is_outside_inner_interval,True
K22_inner_interval_is_contained_in_outer,True
K22_inner_duration_45_minutes,True
K22_outer_duration_1575_minutes,True
K22_wolf_state_true_at_nested_B,True
K22_wolf_state_false_at_nested_X,True
K22_anna_state_true_at_B,True
K22_nested_meeting_true_at_B,True
K22_nested_meeting_false_at_X,True
K22_unknown_middle_temporal_U_is_zero,True
K22_unknown_middle_dependency_propagates_outer_QUERY_zero,True
K22_rejected_middle_U_does_not_make_inner_KEY_minus1,True
K22_rejected_middle_dependency_propagates_outer_UNKNOWN_not_false,True
K22_inner_time_contradiction_is_zero_contradiction,True
K22_nested_outer_query_propagates_inner_contradiction,True
K22_temporal_cycle_terminates_as_UNKNOWN,True
K22_backward_nested_query_ignores_5000_disconnected_U,True
K22_without_order_progress_orientation_is_nonidentifiable,True
K22_without_learned_progress_recursive_ADD_cannot_execute,True
K22_queries_are_read_only,True
