check,passed
frozen_K1_report_is_green,True
K2_five_action_classes_are_anonymous_A_symbols,True
K2_no_human_semantic_action_head_is_learned,True
K2_inflectional_lemma_transfer_preserves_action_identity,True
K2_entity_action_compatibility_is_learned_from_observations,True
K2_single_capability_observation_stays_STAGED,True
K2_implicit_surfaces_use_only_unique_learned_capability,True
K2_STAGED_capability_cannot_drive_implicit_semantics,True
K2_second_independent_capability_support_can_enable_reuse,True
K2_ambiguous_learned_capability_stays_UNKNOWN,True
K2_explicit_action_disambiguates_ambiguous_capability,True
K2_K1_frozen_paraphrases_transfer_with_A_symbols,True
K2_grounded_ACTIVE_deltas_use_only_A_symbols,True
K2_C14_remove_ACTIVE_family_is_unchanged,True
K2_three_different_surface_forms_and_A_symbols_support_same_C14_family,True
K2_Grimm_steh_learning_path_works_without_COOK_head,True
K2_Grimm_steh_reuse_targets_an_anonymous_action,True
