check,passed
frozen_K5_base_is_green,True
K6_P1_to_P4_learn_active_anonymous_persistence_modes,True
K6_same_coarse_binary_P5_does_not_acquire_persistence,True
K6_frozen_new_constants_transfer_by_relation_policy,True
K6_unrelated_relation_does_not_block_persistence,True
K6_same_relation_same_first_new_second_blocks_old_key,True
K6_new_replacement_value_itself_persists,True
K6_different_first_argument_does_not_block,True
K6_query_calls_do_not_add_learning_evidence,True
K6_duplicate_evidence_cannot_activate_persistence,True
K6_later_conflict_challenges_active_persistence,True
K6_endpoint_only_gap_is_non_identifiable,True
K6_endpoint_only_data_does_not_license_persistence,True
K6_explicit_midpoint_continuity_evidence_can_activate_persistence,True
K6_same_arity_same_coarse_occupants_are_separated_by_temporal_evidence,True
K6_Grimm_process_persists_before_O3,True
K6_Grimm_O3_boundary_stops_old_persistence_interval,True
K6_Grimm_new_cook_observation_starts_new_interval,True
