check,passed
K13_K12_base_green,True
K13_no_coarse_POS_labels_are_used,True
K13_known_clause_parses_without_POS,True
K13_productive_unseen_marker_parses_without_POS,True
K13_productive_unseen_verb_parses_without_POS,True
K13_double_unseen_morphology_composes_without_POS,True
K13_unrecognized_noise_tokens_do_not_block_unique_event,True
K13_unknown_marker_stays_UNKNOWN,True
K13_unknown_irregular_verb_stays_UNKNOWN,True
K13_two_semantic_event_candidates_stay_UNKNOWN,True
K13_two_recipient_candidates_stay_UNKNOWN,True
K13_without_local_marker_attachment_roles_are_not_bindable,True
K13_without_entity_dictionary_event_surface_can_fire_but_ports_cannot_bind,True
K13_regular_looking_unknown_residual_token_does_not_become_event,True
