check,passed
K14b_K14_base_green,True
K14b_dictionary_has_no_ENTITY_or_type_labels,True
K14b_repeated_text_world_alignment_learns_core_raw_anchors,True
K14b_anonymous_port_types_induced_from_relation_incidence,True
K14b_base_event_parses_from_learned_anchors,True
K14b_new_combination_generalizes,True
K14b_sweet_style_event_uses_learned_raw_anchors,True
K14b_holle_style_event_uses_learned_raw_anchors,True
K14b_unaligned_new_content_word_stays_UNKNOWN,True
K14b_perfectly_cooccurring_token_participant_pairs_are_non_identifiable,True
K14b_one_discriminating_episode_breaks_anchor_permutation_symmetry,True
K14b_without_persistent_world_participant_identity_anchor_learning_is_non_identifiable,True
