check,passed
K15_previous_K14_hard_distractor_gap_recorded,True
K15_all_three_argument_programs_learned,True
K15_base,True
K15_known_adjunct,True
K15_closer_adjunct,True
K15_unseen_residual_introducer,True
K15_recipient_fronting,True
K15_theme_fronting,True
K15_new_combination,True
K15_structurally_undistinguished_candidates_UNKNOWN,True
K15_unknown_entity_UNKNOWN,True
K15_rank_only_cannot_fit_hard_recipient_curriculum,True
K15_identical_features_nonidentifiable,True
K15_multi_event_span_still_needs_grouping,True
