n,d,q,r,good,alt_pair,alt_state,wrong_r,wrong_state,passed
64,10,6,4,+1,"(5, 14)",0,5,0,True
82,9,9,1,+1,"(8, 10)",0,2,0,True
54,9,6,0,+1,"(5, 9)",0,1,0,True
42,12,3,6,+1,"(2, 18)",0,7,0,True
76,11,6,10,+1,"(5, 21)",0,11,0,True
73,9,8,1,+1,"(7, 10)",0,2,0,True
38,7,5,3,+1,"(4, 10)",0,4,0,True
46,10,4,6,+1,"(3, 16)",0,7,0,True
83,12,6,11,+1,"(5, 23)",0,12,0,True
57,9,6,3,+1,"(5, 12)",0,4,0,True
86,11,7,9,+1,"(6, 20)",0,10,0,True
82,9,9,1,+1,"(8, 10)",0,2,0,True
71,12,5,11,+1,"(4, 23)",0,12,0,True
77,10,7,7,+1,"(6, 17)",0,8,0,True
39,11,3,6,+1,"(2, 17)",0,7,0,True
34,8,4,2,+1,"(3, 10)",0,3,0,True
83,8,10,3,+1,"(9, 11)",0,4,0,True
40,12,3,4,+1,"(2, 16)",0,5,0,True
65,11,5,10,+1,"(4, 21)",0,11,0,True
82,12,6,10,+1,"(5, 22)",0,11,0,True
44,9,4,8,+1,"(3, 17)",0,9,0,True
65,7,9,2,+1,"(8, 9)",0,3,0,True
87,12,7,3,+1,"(6, 15)",0,4,0,True
71,7,10,1,+1,"(9, 8)",0,2,0,True
50,10,5,0,+1,"(4, 10)",0,1,0,True
36,11,3,3,+1,"(2, 14)",0,4,0,True
85,10,8,5,+1,"(7, 15)",0,6,0,True
71,11,6,5,+1,"(5, 16)",0,6,0,True
40,12,3,4,+1,"(2, 16)",0,5,0,True
82,10,8,2,+1,"(7, 12)",0,3,0,True
