n,d,q,r,good,wrong_r,wrong_state,alt,alt_state,passed
71,7,10,1,+1,2,0,"(9, 8)",0,True
32,12,2,8,+1,9,0,"(1, 20)",0,True
48,8,6,0,+1,1,0,"(5, 8)",0,True
45,8,5,5,+1,6,0,"(4, 13)",0,True
78,7,11,1,+1,2,0,"(10, 8)",0,True
74,12,6,2,+1,3,0,"(5, 14)",0,True
88,11,8,0,+1,1,0,"(7, 11)",0,True
36,11,3,3,+1,4,0,"(2, 14)",0,True
58,7,8,2,+1,3,0,"(7, 9)",0,True
32,7,4,4,+1,5,0,"(3, 11)",0,True
44,8,5,4,+1,5,0,"(4, 12)",0,True
63,11,5,8,+1,9,0,"(4, 19)",0,True
32,11,2,10,+1,11,0,"(1, 21)",0,True
43,12,3,7,+1,8,0,"(2, 19)",0,True
72,12,6,0,+1,1,0,"(5, 12)",0,True
65,10,6,5,+1,6,0,"(5, 15)",0,True
45,10,4,5,+1,6,0,"(3, 15)",0,True
68,9,7,5,+1,6,0,"(6, 14)",0,True
82,7,11,5,+1,6,0,"(10, 12)",0,True
79,8,9,7,+1,8,0,"(8, 15)",0,True
75,10,7,5,+1,6,0,"(6, 15)",0,True
52,9,5,7,+1,8,0,"(4, 16)",0,True
40,8,5,0,+1,1,0,"(4, 8)",0,True
79,9,8,7,+1,8,0,"(7, 16)",0,True
37,7,5,2,+1,3,0,"(4, 9)",0,True
55,7,7,6,+1,7,0,"(6, 13)",0,True
53,9,5,8,+1,9,0,"(4, 17)",0,True
69,9,7,6,+1,7,0,"(6, 15)",0,True
82,7,11,5,+1,6,0,"(10, 12)",0,True
77,10,7,7,+1,8,0,"(6, 17)",0,True
