check,passed
sensor_emits_no_count_or_semantic_labels,True
count_U_selected_from_curriculum,True
constant_count_shortcuts_rejected,True
recursive_count_U_fits_all_16_train_images,True
sensor_never_emits_region_count,True
sensor_never_emits_corner_count,True
shape_U_learned_from_COUNT_of_VERTEX_members,True
color_U_learned_and_classes_separable,True
all_blind_image_counts_provable,True
all_blind_region_shapes_provable,True
all_blind_region_colors_provable,True
five_vertex_shape_stays_KEY_0,True
unknown_color_stays_KEY_0,True
U_minus1_does_not_make_shape_KEY_minus1,True
queries_are_read_only,True
