test,ops,query,truth,gate_state,gate_value,gate_used,gate_cost,fixed_sensor,fixed_value,fixed_cost,all_state,all_value,all_cost
1,lowcontrast+blur,total,2,1,2,RAW;CONSERVATIVE,3,DENOISE,2,2,1,2,17
1,lowcontrast+blur,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,lowcontrast+blur,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,lowcontrast+blur,red,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur,green,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur,green_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+dark,total,2,1,2,RAW;CONSERVATIVE,3,DENOISE,2,2,1,2,17
1,rotate+dark,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,rotate+dark,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,rotate+dark,red,1,0,,,0,OTSU_CHROMA,1,5,0,,17
1,rotate+dark,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+dark,green,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
1,rotate+dark,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+dark,red_triangle,1,0,,,0,OTSU_CHROMA,1,5,0,,17
1,rotate+dark,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+dark,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+dark,green_quadrilateral,1,1,1,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
1,rotate+dark,green_triangle,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
1,occlude+noise,total,2,1,2,CONSERVATIVE;DENOISE,4,DENOISE,2,2,0,,17
1,occlude+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
1,occlude+noise,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,occlude+noise,red,1,0,,,0,OTSU_CHROMA,1,5,0,,17
1,occlude+noise,blue,0,0,,OTSU_RGB,4,OTSU_CHROMA,0,5,1,0,17
1,occlude+noise,green,1,1,1,RAW;CONSERVATIVE;DENOISE,5,OTSU_CHROMA,1,5,0,,17
1,occlude+noise,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,occlude+noise,red_triangle,1,0,,,0,OTSU_CHROMA,1,5,0,,17
1,occlude+noise,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,occlude+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
